Amplitude,Left_Ear,Right_Ear,Ear,Eye_closed
3.0,0.1871348584655416,0.1875,0.18731742923277078,1
3.040569415042095,0.19108411851099838,0.2,0.1955420592554992,2
2.75,0.1860521018838127,0.15625,0.17115105094190636,3
3.040569415042095,0.19219615962682976,0.1875,0.1898480798134149,4
3.33113883008419,0.19219615962682976,0.23874258867227932,0.21546937414955453,5
3.0,0.1871348584655416,0.2,0.19356742923277082,6
3.540569415042095,0.20495430626357874,0.26666666666666666,0.2358104864651227,7
3.75,0.21832400154313186,0.26666666666666666,0.24249533410489926,8
3.0,0.1871348584655416,0.2,0.19356742923277082,9
3.25,0.1871348584655416,0.23333333333333334,0.21023409589943748,10
3.0,0.1871348584655416,0.1875,0.18731742923277078,11
2.25,0.13303802104754786,0.16666666666666666,0.14985234385710727,12
3.040569415042095,0.20495430626357874,0.2,0.20247715313178938,13
2.5,0.13303802104754786,0.21428571428571427,0.17366186766663105,14
3.040569415042095,0.19219615962682976,0.2,0.19609807981341487,15
2.25,0.13303802104754786,0.16666666666666666,0.14985234385710727,16
2.5,0.13303802104754786,0.2,0.16651901052377394,17
2.5,0.12475657231036107,0.2,0.16237828615518055,18
2.790569415042095,0.2036073849504067,0.16666666666666666,0.1851370258085367,19
2.3090169943749475,0.14088952518736514,0.16666666666666666,0.1537780959270159,20
2.75,0.15594571538795132,0.2,0.17797285769397567,21
3.5,0.24951314462072213,0.1875,0.21850657231036108,22
2.5590169943749475,0.15128814205356392,0.2,0.17564407102678198,1
3.32134582144651,0.18093070201573147,0.22216356051417732,0.20154713126495438,2
3.5307764064044154,0.21832400154313186,0.22216356051417732,0.2202437810286546,1
3.7807764064044154,0.21832400154313186,0.2538470508005519,0.2360855261718419,2
3.33113883008419,0.19219615962682976,0.22338530270442003,0.2077907311656249,1
4.0,0.24806946917841693,0.24951314462072213,0.24879130689956952,1
3.82134582144651,0.20113399857238304,0.19975046777556893,0.20044223317397597,1
4.805531284802611,0.23971772826690166,0.23782574707724702,0.23877173767207432,2
4.305531284802611,0.22800237002164542,0.19026059766179762,0.20913148384172153,1
4.061552812808831,0.22426173767603233,0.22529441422441898,0.22477807595022564,1
4.336307691207026,0.22426173767603233,0.25460333819405395,0.23943253793504315,2
4.092329219213246,0.2158132119814573,0.19253606842154392,0.2041746402015006,1
2.8901558244591374,0.1412811624583021,0.14605998837058273,0.14367057541444242,2
3.7227336403125078,0.1868454193938467,0.19253606842154392,0.1896907439076953,3
3.1217082451262845,0.16552117772047362,0.14524627736864776,0.1553837275445607,4
2.3495864094170424,0.13211933023663935,0.1341870181436823,0.13315317419016082,5
3.3717082451262845,0.16439898730535732,0.17707591868692504,0.17073745299614118,6
4.342329219213246,0.20387445199445448,0.2162383415785428,0.21005639678649862,7
4.830286163200807,0.23971772826690166,0.2512225000170304,0.245470114141966,8
5.074264635194588,0.2521302880488364,0.23803617271322422,0.2450832303810303,9
4.673565273552507,0.26224804439645283,0.22555427010576445,0.24390115725110864,1
3.82134582144651,0.18937452099807514,0.18856180831641267,0.18896816465724392,2
3.88289863425534,0.20113399857238304,0.20513217183267982,0.20313308520253143,1
3.611915236488605,0.19066719485096545,0.1697622615275816,0.18021472818927353,2
4.830286163200807,0.22800237002164542,0.24018068605679,0.2340915280392177,3
3.040569415042095,0.17091083136448731,0.1498128508316767,0.160361841098082,4
3.1401558244591374,0.1683697744755178,0.18617454263468594,0.17727215855510187,5
3.6021222278509253,0.18093070201573147,0.20589806935130187,0.19341438568351665,6
3.88289863425534,0.21435005469079302,0.1819073399075091,0.19812869729915106,7
4.061552812808831,0.21435005469079302,0.1896181852559909,0.20198411997339194,8
3.6021222278509253,0.20113399857238304,0.1771938751820891,0.18916393687723607,9
3.82134582144651,0.20113399857238304,0.19900743804199783,0.20007071830719042,10
3.8115528128088303,0.22594479646818832,0.15892681321527494,0.19243580484173162,11
4.061552812808831,0.22766042320237156,0.19026059766179762,0.20896051043208458,12
4.336307691207026,0.2123507433382009,0.21639811134906528,0.2143744273436331,13
4.336307691207026,0.2123507433382009,0.21664332175220916,0.21449703254520502,14
3.6119152364886054,0.15504341823651058,0.18461603694585593,0.16982972759118325,15
3.64269164289302,0.16286558549611407,0.18741389207353001,0.17513973878482203,16
3.64269164289302,0.15504341823651058,0.20589806935130187,0.1804707437939062,17
3.64269164289302,0.1533929977694741,0.19611613513818402,0.17475456645382906,18
2.618033988749895,0.11381286340149636,0.14269544824634822,0.1282541558239223,19
2.40860340379199,0.10963225241337866,0.1288959221757504,0.11926408729456453,20
3.82134582144651,0.18760816441715747,0.19026059766179762,0.18893438103947754,21
2.80669319060359,0.12415365073484297,0.14605998837058273,0.13510681955271286,22
4.061552812808831,0.19999999999999998,0.17374889710522776,0.18687444855261387,23
4.092329219213246,0.20215188501566,0.18442561292721246,0.19328874897143622,1
5.049509756796392,0.25,0.23809523809523808,0.24404761904761904,2
5.024754878398197,0.21664332175220916,0.27465689319140724,0.2456501074718082,1
5.25,0.23782574707724702,0.2619047619047619,0.24986525449100447,1
4.0,0.19444444444444445,0.225,0.20972222222222223,1
5.024754878398197,0.24968808471946113,0.24045284556173296,0.24507046514059705,1
4.305531284802611,0.22188007849009164,0.23971772826690166,0.23079890337849665,1
3.4062796000206323,0.24215988823623433,0.20701710508942092,0.22458849666282762,1
2.40860340379199,0.17123289910321773,0.20231155617924318,0.18677222764123047,1
2.8495864094170424,0.19622994374362807,0.23094111913437354,0.2135855314390008,2
